chinese-moto-rules-choice-001	為了趕時間，<br/>(1) 可以超速行駛<br/>(2) 不必遵守交通規則<br/>(3) 仍要依規定駕駛。	3	11	chinese	moto	rules	choice	easy
chinese-moto-rules-choice-002	防衛駕駛就是<br/>(1) 能儘力採取合理謹慎行為加以防止車禍發生<br/>(2) 優良駕駛技術<br/>(3) 良好生活習慣。	1	11	chinese	moto	rules	choice	easy
chinese-moto-rules-choice-003	行車速度愈快，則煞車距離愈長，速度若增加1倍，煞車距離即會增為<br/>(1) 2倍<br/>(2) 4倍<br/>(3) 8倍。	2	11	chinese	moto	rules	choice	hard
chinese-moto-rules-choice-004	行車速度愈快，駕駛人的視野<br/>(1) 不變<br/>(2) 愈狹窄<br/>(3) 愈寬廣。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-005	夜間行駛，應使用燈光，如市區照明清楚時，<br/>(1) 戴有色眼鏡<br/>(2) 使用遠光燈<br/>(3) 使用近光燈	3	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-006	行駛在積水路段，應<br/>(1) 低速行駛<br/>(2) 快速通過<br/>(3) 多使用煞車。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-007	肇事後，<br/>(1) 保持現場，報警處理<br/>(2) 與我無關趕快駛離<br/>(3) 據理力爭，以脫責任。	1	11	chinese	moto	rules	choice	easy
chinese-moto-rules-choice-008	對肇事責任鑑定有異議，<br/>(1) 絕對服從<br/>(2) 向覆議機關申請覆議<br/>(3) 向警察機關提出告訴。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-009	變換車道時，為預防因自己的駕駛死角而發生危險，應<br/>(1) 提前顯示方向燈，觀看照後鏡並擺頭查看<br/>(2) 緊盯前方注意路況<br/>(3) 與前方車輛保持安全距離。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-010	下列何者最接近防衛駕駛觀念?<br/>(1) 即使自己遵守交通規則，還是必須小心防範他人違規對自己造成傷害<br/>(2) 選購耐撞車種，並加強安全配備<br/>(3) 騎在路中間，大家都看得到。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-011	行車安全距離的描述，下列何者錯誤?<br/>(1) 因機車車身小，故行駛其後所保持的安全距離與同車速的汽車相比，可以再縮短一些<br/>(2) 即使停車時也該保持安全距離<br/>(3) 被超車後應該略為減速重新取得安全距離。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-012	關於「購買安全帽注意事項」，下列何者錯誤?<br/>(1) 必須貼有標準檢驗局之認證合格標籤<br/>(2) 安全帽受過強力撞擊後，若外觀沒有損壞則不必更換<br/>(3) 應選擇顏色鮮明或有反光材料之安全帽。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-013	請問應如何選購機車安全帽較為適當?<br/>(1) 用工程用安全帽，又輕又透風<br/>(2) 選擇貼有標準檢驗局之認證合格標籤，比較有保障<br/>(3) 選深色的，比較不容易髒。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-014	關於內輪差的敘述，何者錯誤?<br/>(1) 車輛在轉彎時，後輪向內偏移<br/>(2) 軸距越長的車輛內輪差越大<br/>(3) 小客車沒有內輪差。	3	11	chinese	moto	rules	choice	hard
chinese-moto-rules-choice-015	機車駕駛人行經路面積水路段時應如何操作較恰當?<br/>(1) 低速行駛<br/>(2) 多使用煞車<br/>(3) 快速通過。	1	11	chinese	moto	rules	choice	easy
chinese-moto-rules-choice-016	下列何者不是機車駕駛人在交岔路口轉彎前必要做的動作?<br/>(1) 減速、禮讓<br/>(2) 開亮頭燈<br/>(3) 顯示方向燈。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-017	騎機車時若發現煞車系統失靈，第一時間應如何作較為適當?<br/>(1) 開亮頭燈<br/>(2) 放鬆油門 <br/>(3) 鳴按喇叭。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-018	騎乘機車時，看見前方路邊有球滾動出來，應<br/>(1) 減速慢行，握穩把手<br/>(2) 臨時閃避，快速通過<br/>(3) 鳴按喇叭，騎至對向車道。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-019	騎乘機車經過煙塵路段時，應該如何駕駛?<br/>(1) 行駛於大型車旁有助看清路況<br/>(2) 減速慢行<br/>(3) 快速通過。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-020	夜間騎車，駕駛人不易發現的目標是<br/>(1) 移動中的行人<br/>(2) 站立的人物<br/>(3) 移動中的車輛。	2	11	chinese	moto	rules	choice	hard
chinese-moto-rules-choice-021	駕駛人的守法是為了<br/>(1) 害怕取締處罰而守法<br/>(2) 責任、榮譽及他人和自己的安全而守法<br/>(3) 有人監督而守法。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-022	駕駛人應<br/>(1) 注意騎乘機車技術<br/>(2) 保持安全第一<br/>(3) 為達目地一路往前。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-023	以下何者「不是」騎乘機車時的危險行為?<br/>(1) 騎車後座載人 <br/>(2) 參加車隊夜間狂飆<br/>(3) 聚餐酒後夜遊。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-024	良好的騎乘姿勢，上半身的狀態應<br/>(1) 向前傾斜<br/>(2) 向後傾斜<br/>(3)  保持輕鬆。	3	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-025	車輛行駛彎道時速度愈高，所產生的離心力<br/>(1) 愈大<br/>(2) 愈小<br/>(3) 不變。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-026	機車緊急煞車時切記不可以用力過猛而鎖死輪胎，並採取<br/>(1) 放開油門後控制後輪煞車<br/>(2) 放開油門後使用前後輪煞車<br/>(3) 放開油門後控制前輪煞車。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-027	騎乘機車時良好的手肘姿勢為何？<br/>(1) 向前伸直<br/>(2) 向身體靠攏<br/>(3)  向外張開。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-028	車禍中不醒人事的骨折傷患，<br/>(1) 除非情況緊急，否則不得任意移動<br/>(2) 搬動傷患前，應先處理呼吸困難、出血、骨折等情形<br/>(3) 以上皆是。	3	11	chinese	moto	rules	choice	medium
chinese-moto-rules-choice-029	車禍肇事時，傷者有休克現象時臉色呈<br/>(1) 蒼白<br/>(2) 鉛灰色<br/>(3) 潮紅症狀。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-030	前方路上發生事故，警察已到現場處理，應如何做比較好？<br/>(1) 停在路旁觀看<br/>(2) 繞道離開，不可好奇在現場停留觀看<br/>(3) 留下幫忙順便打卡。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-031	飲酒後可以騎車嗎?<br/>(1) 可以<br/>(2) 不可以<br/>(3) 慢慢騎。	2	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-032	機車騎士見到其他車輛或行人不良的表現，就會逞強好勝，意氣用事，容易衝動，要如何去克制自己？<br/>(1) 忍耐與禮讓<br/>(2) 據理力爭<br/>(3) 以牙還牙。	1	11	chinese	moto	rules	choice	
chinese-moto-rules-choice-033	騎車時應注意<br/>(1) 路旁的商家<br/>(2) 前方的號誌、標誌指示及前車的行車動向<br/>(3) 以上皆是。	2	11	chinese	moto	rules	choice	
