english-car-signs-choice-001	<img src="english-car-signs-choice-1.png"><br><br>(1)  Right turn <br>(2)  Left turn <br>(3)  Winding road, right turn ahead	1		english	car	signs	choice	
english-car-signs-choice-002	<img src="english-car-signs-choice-2.png"><br><br>(1)  Left turn <br>(2)  Right turn <br>(3)  Winding road, left turn ahead	1		english	car	signs	choice	
english-car-signs-choice-003	<img src="english-car-signs-choice-3.png"><br><br>(1)  Winding road, right turn ahead <br>(2)  Left turn <br>(3)  Winding road, left turn ahead	1		english	car	signs	choice	
english-car-signs-choice-004	<img src="english-car-signs-choice-4.png"><br><br>(1)  Winding road, left turn ahead <br>(2)  Right turn <br>(3)  Winding road, right turn ahead	1		english	car	signs	choice	
english-car-signs-choice-005	<img src="english-car-signs-choice-5.png"><br><br>(1)  Two-way <br>(2) Narrow road <br>(3) Crossroads	3		english	car	signs	choice	
english-car-signs-choice-006	<img src="english-car-signs-choice-6.png"><br><br>(1)  T intersection ahead <br>(2)  Two-way <br>(3)  Dead end	1		english	car	signs	choice	
english-car-signs-choice-007	<img src="english-car-signs-choice-7.png"><br><br>(1)  Right lane narrows<br>(2)  Narrow road <br>(3)  Lane merges	1		english	car	signs	choice	
english-car-signs-choice-008	<img src="english-car-signs-choice-8.png"><br><br>(1)  Road narrows <br>(2)  Narrow bridge <br>(3)  Crossroads	1		english	car	signs	choice	
english-car-signs-choice-009	<img src="english-car-signs-choice-9.png"><br><br>(1)  Crossroads <br>(2)  Narrow bridge <br>(3)  On-ramp traffic merges into lane	3		english	car	signs	choice	
english-car-signs-choice-010	<img src="english-car-signs-choice-10.png"><br><br>(1)  One way road<br>(2)  Two-way road<br>(3)  Narrow road	2		english	car	signs	choice	
english-car-signs-choice-011	<img src="english-car-signs-choice-11.png"><br><br>(1)  Road veers left <br>(2)  Circular intersection <br>(3)  Crossroads	2		english	car	signs	choice	
english-car-signs-choice-012	<img src="english-car-signs-choice-12.png"><br><br>(1)  Bumpy road <br>(2)  Bump ahead <br>(3)  Dip ahead	1		english	car	signs	choice	
english-car-signs-choice-013	<img src="english-car-signs-choice-13.png"><br><br>(1)  Crossroads <br>(2)  Narrow bridge <br>(3)  Road narrows	2		english	car	signs	choice	
english-car-signs-choice-014	<img src="english-car-signs-choice-14.png"><br><br>(1)  Bumpy road <br>(2)  Steep hill <br>(3)  Bump ahead	3		english	car	signs	choice	
english-car-signs-choice-015	<img src="english-car-signs-choice-15.png"><br><br>(1)  Steep downgrade <br>(2)  Steep hill <br>(3)  Wharf	1		english	car	signs	choice	
english-car-signs-choice-016	<img src="english-car-signs-choice-16.png"><br><br>(1)  Steep drop-off on right <br>(2)  Falling rocks <br>(3)  Steep drop-off on left	3		english	car	signs	choice	
english-car-signs-choice-017	<img src="english-car-signs-choice-17.png"><br><br>(1)  Railroad crossing without gate <br>(2)  Railroad crossing with gate <br>(3)  Vehicles prohibited	1		english	car	signs	choice	
english-car-signs-choice-018	<img src="english-car-signs-choice-18.png"><br><br>(1)  Watch out for traffic signals <br>(2)  Danger ahead<br>(3)  Slow down	1		english	car	signs	choice	
english-car-signs-choice-019	<img src="english-car-signs-choice-19.png"><br><br>(1)  Vehicles prohibited <br>(2)  Railroad crossing without gate <br>(3)  Railroad crossing with gate	3		english	car	signs	choice	
english-car-signs-choice-020	<img src="english-car-signs-choice-20.png"><br><br>(1)  Bumpy road <br>(2)  Slippery road<br>(3)  Passing prohibited	2		english	car	signs	choice	
english-car-signs-choice-021	<img src="english-car-signs-choice-21.png"><br><br>(1)  Narrow road <br>(2)  Tunnel <br>(3)  Narrow bridge	2		english	car	signs	choice	
english-car-signs-choice-022	<img src="english-car-signs-choice-22.png"><br><br>(1)  Cars prohibited <br>(2)  Watch out for trolley <br>(3)  Watch out for pedestrians	2		english	car	signs	choice	
english-car-signs-choice-023	<img src="english-car-signs-choice-23.png"><br><br>(1)  Watch out for pedestrians <br>(2)  Watch out for children <br>(3)  Pedestrians prohibited	2		english	car	signs	choice	
english-car-signs-choice-024	<img src="english-car-signs-choice-24.png"><br><br>(1)  Watch out for children <br>(2)  Watch out for pedestrians <br>(3)  Pedestrians prohibited	2		english	car	signs	choice	
english-car-signs-choice-025	<img src="english-car-signs-choice-25.png"><br><br>(1)  Make full stop then proceed <br>(2)  Yield <br>(3)  Slow down	3		english	car	signs	choice	
english-car-signs-choice-026	<img src="english-car-signs-choice-26.png"><br><br>(1)  Steep Downgrade <br>(2)  Wharf embankment <br>(3)  Slippery road ahead	2		english	car	signs	choice	
english-car-signs-choice-027	<img src="english-car-signs-choice-27.png"><br><br>(1)  Poor road conditions <br>(2)  Watch for falling rocks on left <br>(3)  Watch for falling rocks on right	3		english	car	signs	choice	
english-car-signs-choice-028	<img src="english-car-signs-choice-28.png"><br><br>(1)  Narrow bridge <br>(2)  Danger ahead <br>(3)  Slow down	2		english	car	signs	choice	
english-car-signs-choice-029	<img src="english-car-signs-choice-29.png"><br><br>(1)  Keep right <br>(2)  One-way road<br>(3)  Right turn allowed	1		english	car	signs	choice	
