english-moto-signs-true-001	<img src="english-moto-signs-true-1.png"/><br/>Winding road, left turn ahead 	X		english	moto	signs	true	
english-moto-signs-true-002	<img src="english-moto-signs-true-2.png"/><br/>Forked road 	O		english	moto	signs	true	
english-moto-signs-true-003	<img src="english-moto-signs-true-3.png"/><br/>Bump ahead 	X		english	moto	signs	true	
english-moto-signs-true-004	<img src="english-moto-signs-true-4.png"/><br/>Steep downgrade ahead 	O		english	moto	signs	true	
english-moto-signs-true-005	<img src="english-moto-signs-true-5.png"/><br/>Narrow bridge 	O		english	moto	signs	true	
english-moto-signs-true-006	<img src="english-moto-signs-true-6.png"/><br/>Narrow Road	X		english	moto	signs	true	
english-moto-signs-true-007	<img src="english-moto-signs-true-7.png"/><br/>Narrow road 	X		english	moto	signs	true	
english-moto-signs-true-008	<img src="english-moto-signs-true-8.png"/><br/>No-gate railroad crossing 	O		english	moto	signs	true	
english-moto-signs-true-009	<img src="english-moto-signs-true-9.png"/><br/>Watch out for pedestrians 	O		english	moto	signs	true	
english-moto-signs-true-010	<img src="english-moto-signs-true-10.png"/><br/>Watch out for traffic signals 	X		english	moto	signs	true	
english-moto-signs-true-011	<img src="english-moto-signs-true-11.png"/><br/>Bumpy road 	X		english	moto	signs	true	
english-moto-signs-true-012	<img src="english-moto-signs-true-12.png"/><br/>Tunnel ahead 	O		english	moto	signs	true	
english-moto-signs-true-013	<img src="english-moto-signs-true-13.png"/><br/>Bicycles prohibited 	X		english	moto	signs	true	
english-moto-signs-true-014	<img src="english-moto-signs-true-14.png"/><br/>Yield 	O		english	moto	signs	true	
english-moto-signs-true-015	<img src="english-moto-signs-true-15.png"/><br/>Single lane road, pass with extreme caution 	O		english	moto	signs	true	
english-moto-signs-true-016	<img src="english-moto-signs-true-16.png"/><br/>Road forks ahead 	O		english	moto	signs	true	
english-moto-signs-true-017	<img src="english-moto-signs-true-17.png"/><br/>Parking prohibited 	X		english	moto	signs	true	
english-moto-signs-true-018	<img src="english-moto-signs-true-18.png"/><br/>Stop and go 	O		english	moto	signs	true	
english-moto-signs-true-019	<img src="english-moto-signs-true-19.png"/><br/>Do not enter 	X		english	moto	signs	true	
english-moto-signs-true-020	<img src="english-moto-signs-true-20.png"/><br/>U-turns prohibited 	O		english	moto	signs	true	
english-moto-signs-true-021	<img src="english-moto-signs-true-21.png"/><br/>Cars prohibited 	X		english	moto	signs	true	
english-moto-signs-true-022	<img src="english-moto-signs-true-22.png"/><br/>Vehicle width limit 	O		english	moto	signs	true	
english-moto-signs-true-023	<img src="english-moto-signs-true-23.png"/><br/>Cars with four or more wheels and motorcycles prohibited 	O		english	moto	signs	true	
english-moto-signs-true-024	<img src="english-moto-signs-true-24.png"/><br/>Watch out for bicycles 	O		english	moto	signs	true	
english-moto-signs-true-025	<img src="english-moto-signs-true-25.png"/><br/>Watch out for the disabled persons 	O		english	moto	signs	true	
english-moto-signs-true-026	<img src="english-moto-signs-true-26.png"/><br/>No stopping 	O		english	moto	signs	true	
english-moto-signs-true-027	<img src="english-moto-signs-true-27.png"/><br/>No parking 	O		english	moto	signs	true	
english-moto-signs-true-028	<img src="english-moto-signs-true-28.png"/><br/>Maximum speed 	O		english	moto	signs	true	
english-moto-signs-true-029	<img src="english-moto-signs-true-29.png"/><br/>Right lane narrows 	O		english	moto	signs	true	
english-moto-signs-true-030	<img src="english-moto-signs-true-30.png"/><br/>Tri-wheeled vehicles prohibited 	X		english	moto	signs	true	
english-moto-signs-true-031	<img src="english-moto-signs-true-31.png"/><br/>Cars prohibited 	X		english	moto	signs	true	
english-moto-signs-true-032	<img src="english-moto-signs-true-32.png"/><br/>Bicycles prohibited 	X		english	moto	signs	true	
english-moto-signs-true-033	<img src="english-moto-signs-true-33.png"/><br/>Vehicle height limit 	O		english	moto	signs	true	
english-moto-signs-true-034	<img src="english-moto-signs-true-34.png"/><br/>Taxi with no passengers prohibited 	O		english	moto	signs	true	
english-moto-signs-true-035	<img src="english-moto-signs-true-35.png"/><br/>Cars prohibited 	O		english	moto	signs	true	
english-moto-signs-true-036	<img src="english-moto-signs-true-36.png"/><br/>Do not enter 	O		english	moto	signs	true	
english-moto-signs-true-037	<img src="english-moto-signs-true-37.png"/><br/>Right turns prohibited 	O		english	moto	signs	true	
english-moto-signs-true-038	<img src="english-moto-signs-true-38.png"/><br/>Danger 	O		english	moto	signs	true	
english-moto-signs-true-039	<img src="english-moto-signs-true-39.png"/><br/>Watch out for traffic signals 	O		english	moto	signs	true	
english-moto-signs-true-040	<img src="english-moto-signs-true-40.png"/><br/>Watch out for children 	O		english	moto	signs	true	
english-moto-signs-true-041	<img src="english-moto-signs-true-41.png"/><br/>Watch out for children 	X		english	moto	signs	true	
english-moto-signs-true-042	<img src="english-moto-signs-true-42.png"/><br/>Bump ahead 	O		english	moto	signs	true	
english-moto-signs-true-043	<img src="english-moto-signs-true-43.png"/><br/>Winding road, right turn ahead 	O		english	moto	signs	true	
english-moto-signs-true-044	<img src="english-moto-signs-true-44.png"/><br/>Two-way 	O		english	moto	signs	true	
english-moto-signs-true-045	<img src="english-moto-signs-true-45.png"/><br/>First-aid station 	X		english	moto	signs	true	
english-moto-signs-true-046	<img src="english-moto-signs-true-46.png"/><br/>Intersection	O		english	moto	signs	true	
english-moto-signs-true-047	<img src="english-moto-signs-true-47.png"/><br/>Road narrows 	X		english	moto	signs	true	
english-moto-signs-true-048	<img src="english-moto-signs-true-48.png"/><br/>Road narrows 	O		english	moto	signs	true	
english-moto-signs-true-049	<img src="english-moto-signs-true-49.png"/><br/>Cars only 	O		english	moto	signs	true	
