chinese-car-signs-true-001	<img src="chinese-car-signs-true-1.png"><br>連續彎路先向右 	O		chinese	car	signs	true
chinese-car-signs-true-002	<img src="chinese-car-signs-true-2.png"><br>連續彎路先向左 	X		chinese	car	signs	true
chinese-car-signs-true-003	<img src="chinese-car-signs-true-3.png"><br>岔路 	O		chinese	car	signs	true
chinese-car-signs-true-004	<img src="chinese-car-signs-true-4.png"><br>救護站 	X		chinese	car	signs	true
chinese-car-signs-true-005	<img src="chinese-car-signs-true-5.png"><br>狹路 	O		chinese	car	signs	true
chinese-car-signs-true-006	<img src="chinese-car-signs-true-6.png"><br>狹橋 	X		chinese	car	signs	true
chinese-car-signs-true-007	<img src="chinese-car-signs-true-7.png"><br>險升坡 	O		chinese	car	signs	true
chinese-car-signs-true-008	<img src="chinese-car-signs-true-8.png"><br>險降坡 	X		chinese	car	signs	true
chinese-car-signs-true-009	<img src="chinese-car-signs-true-9.png"><br>狹橋 	O		chinese	car	signs	true
chinese-car-signs-true-010	<img src="chinese-car-signs-true-10.png"><br>狹路 	X		chinese	car	signs	true
chinese-car-signs-true-011	<img src="chinese-car-signs-true-11.png"><br>圓環 	O		chinese	car	signs	true
chinese-car-signs-true-012	<img src="chinese-car-signs-true-12.png"><br>圓環遵行方向 	X		chinese	car	signs	true
chinese-car-signs-true-013	<img src="chinese-car-signs-true-13.png"><br>雙向道 	O		chinese	car	signs	true
chinese-car-signs-true-014	<img src="chinese-car-signs-true-14.png"><br>狹路 	X		chinese	car	signs	true
chinese-car-signs-true-015	<img src="chinese-car-signs-true-15.png"><br>無柵門鐵路平交道 	O		chinese	car	signs	true
chinese-car-signs-true-016	<img src="chinese-car-signs-true-16.png"><br>有柵門鐵路平交道 	X		chinese	car	signs	true
chinese-car-signs-true-017	<img src="chinese-car-signs-true-17.png"><br>當心行人 	O		chinese	car	signs	true
chinese-car-signs-true-018	<img src="chinese-car-signs-true-18.png"><br>當心兒童 	X		chinese	car	signs	true
chinese-car-signs-true-019	<img src="chinese-car-signs-true-19.png"><br>注意強風 	O		chinese	car	signs	true
chinese-car-signs-true-020	<img src="chinese-car-signs-true-20.png"><br>注意標誌 	X		chinese	car	signs	true
chinese-car-signs-true-021	<img src="chinese-car-signs-true-21.png"><br>當心兒童 	O		chinese	car	signs	true
chinese-car-signs-true-022	<img src="chinese-car-signs-true-22.png"><br>當心行人 	X		chinese	car	signs	true
chinese-car-signs-true-023	<img src="chinese-car-signs-true-23.png"><br>左側斷崖 	O		chinese	car	signs	true
chinese-car-signs-true-024	<img src="chinese-car-signs-true-24.png"><br>注意落石 	X		chinese	car	signs	true
