english-car-rules-choice-001	When traveling through a tunnel, drivers: <br>(1)  may not turn on their headlights, <br>(2)  must turn on their headlights and proceed quickly, <br>(3)  are required to turn on their headlights and comply with the speed limit.	3	05	english	car	rules	choice	
english-car-rules-choice-002	Vehicles following other vehicles at night are required to: <br>(1)  turn on their low-beam headlights <br>(2)  turn on their high-beam headlights, <br>(3)  not turn on any headlights.	1	05	english	car	rules	choice	
english-car-rules-choice-003	Which of the following should be the priority for drivers: <br>(1)  respecting human life <br>(2)  speeding if they are in a hurry <br>(3)  enjoying the scenery all the way to their destination.	1	05	english	car	rules	choice	
english-car-rules-choice-004	When driving in the city at night with good lighting conditions, drivers are required to: <br>(1)  use their low-beam headlights <br>(2)  use their high-beam headlights <br>(3)  honk their horn often.	1	05	english	car	rules	choice	
english-car-rules-choice-005	If your high-beam headlights shine in the incoming vehicle driver's eyes, you are required to: <br>(1)  switch to your low-beam headlights <br>(2)  turn off all headlights <br>(3)  continue to use your high-beam headlights.	1	05	english	car	rules	choice	
english-car-rules-choice-006	If passengers leave their valuables in your vehicle, you are required to: <br>(1)  keep them as your own property <br>(2)  donate them to charity organizations <br>(3)  take them to the nearest police station so the owner can be notified.	3	05	english	car	rules	choice	
english-car-rules-choice-007	Buses are required to pick up and drop off passengers on: <br>(1)  the right side of the road <br>(2)  the left side of the road <br>(3)  anywhere is fine.	1	05	english	car	rules	choice	
english-car-rules-choice-008	Can vehicles on inside lanes pass vehicles by using the outside lanes? <br>(1)  No, they can't. <br>(2)  Yes, they can. <br>(3)  It doesn't matter.	1	05	english	car	rules	choice	
english-car-rules-choice-009	Drivers of commercial vehicles should provide three services -- safety, comfort, and efficient transportation. If they are unable to provide all three simultaneously, which of the following should be top priority: <br>(1)  comfort <br>(2)  efficiency <br>(3)  safety.	3	05	english	car	rules	choice	
english-car-rules-choice-010	Drivers have to abide by the law, because: <br>(1)  they don't want to be penalized <br>(2)  it's their responsibility and duty, as well as being safer for themselves and others <br>(3)  they are under surveillance.	2	05	english	car	rules	choice	
english-car-rules-choice-011	Drivers often lose their tempers and become aggressive when they see reckless pedestrians or vehicles being driven recklessly. In this situation, you should: <br>(1)  be patient and courteous <br>(2)  not give an inch <br>(3)  respond the same way.	1	05	english	car	rules	choice	
english-car-rules-choice-012	When driving through a congested or construction area, drivers are required to: <br>(1)  speed up <br>(2)  honk the horn and go through first <br>(3)  respect and tolerate one another.	3	05	english	car	rules	choice	
